episode: 0/10000, score: -104.0, e: 0.99 
episode: 10/10000, score: -106.0, e: 0.95 
episode: 20/10000, score: -104.0, e: 0.9 
episode: 30/10000, score: -108.0, e: 0.86 
episode: 40/10000, score: -104.0, e: 0.81 
episode: 50/10000, score: -108.0, e: 0.77 
episode: 60/10000, score: -108.0, e: 0.74 
episode: 70/10000, score: -108.0, e: 0.7 
episode: 80/10000, score: -108.0, e: 0.67 
episode: 90/10000, score: -108.0, e: 0.63 
episode: 100/10000, score: -108.0, e: 0.6 
episode: 110/10000, score: -108.0, e: 0.57 
episode: 120/10000, score: -108.0, e: 0.55 
episode: 130/10000, score: -108.0, e: 0.52 
episode: 140/10000, score: -108.0, e: 0.49 
episode: 150/10000, score: -108.0, e: 0.47 
episode: 160/10000, score: -108.0, e: 0.45 
episode: 170/10000, score: -108.0, e: 0.42 
episode: 180/10000, score: -108.0, e: 0.4 
episode: 190/10000, score: -108.0, e: 0.38 
episode: 200/10000, score: -108.0, e: 0.37 
episode: 210/10000, score: -108.0, e: 0.35 
episode: 220/10000, score: -108.0, e: 0.33 
episode: 230/10000, score: -102.0, e: 0.31 
episode: 240/10000, score: -102.0, e: 0.3 
episode: 250/10000, score: -106.0, e: 0.28 
episode: 260/10000, score: -106.0, e: 0.27 
episode: 270/10000, score: -108.0, e: 0.26 
episode: 280/10000, score: -108.0, e: 0.24 
episode: 290/10000, score: -106.0, e: 0.23 
episode: 300/10000, score: -102.0, e: 0.22 
episode: 310/10000, score: -108.0, e: 0.21 
episode: 320/10000, score: -108.0, e: 0.2 
episode: 330/10000, score: -100.0, e: 0.19 
episode: 340/10000, score: -104.0, e: 0.18 
episode: 350/10000, score: -108.0, e: 0.17 
episode: 360/10000, score: -108.0, e: 0.16 
episode: 370/10000, score: -108.0, e: 0.16 
episode: 380/10000, score: -108.0, e: 0.15 
episode: 390/10000, score: -108.0, e: 0.14 
episode: 400/10000, score: -108.0, e: 0.13 
episode: 410/10000, score: -108.0, e: 0.13 
episode: 420/10000, score: -108.0, e: 0.12 
episode: 430/10000, score: -108.0, e: 0.12 
episode: 440/10000, score: -108.0, e: 0.11 
episode: 450/10000, score: -108.0, e: 0.1 
episode: 460/10000, score: -108.0, e: 0.099 
episode: 470/10000, score: -108.0, e: 0.094 
episode: 480/10000, score: -108.0, e: 0.09 
episode: 490/10000, score: -108.0, e: 0.085 
episode: 500/10000, score: -108.0, e: 0.081 
episode: 510/10000, score: -108.0, e: 0.077 
episode: 520/10000, score: -108.0, e: 0.073 
episode: 530/10000, score: -108.0, e: 0.07 
episode: 540/10000, score: -108.0, e: 0.066 
episode: 550/10000, score: -108.0, e: 0.063 
episode: 560/10000, score: -108.0, e: 0.06 
episode: 570/10000, score: -108.0, e: 0.057 
episode: 580/10000, score: -108.0, e: 0.054 
episode: 590/10000, score: -108.0, e: 0.052 
episode: 600/10000, score: -108.0, e: 0.049 
episode: 610/10000, score: -108.0, e: 0.047 
episode: 620/10000, score: -108.0, e: 0.044 
episode: 630/10000, score: -108.0, e: 0.042 
episode: 640/10000, score: -108.0, e: 0.04 
episode: 650/10000, score: -108.0, e: 0.038 
episode: 660/10000, score: -108.0, e: 0.036 
episode: 670/10000, score: -108.0, e: 0.035 
